사업명,집행차수,과제/사업단명,비목,보조비목,보조세목,최초배정액,예산증감액,이월금,비고
대학 자원 공유 커뮤니버시티 운영,1차년도,대외협력처,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,11939120,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,박물관,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,7500000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,박물관,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,20950000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,박물관,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1487450,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,수의학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,5000000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,수의학과,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,15000000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,생명과학기술학부,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,7245100,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,생명과학기술학부,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,11707850,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,정치외교학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,10739129,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,정치외교학과,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,231100,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,경영학부,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,19106000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,경영학부,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,155400,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,치의학전문대학원,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9864000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,치의학전문대학원,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,9999400,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,리걸클리닉센터,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,18599390,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,리걸클리닉센터,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,40000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,공익인권법센터,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,26000000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,공익인권법센터,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,1035000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,공익인권법센터,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,950800,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,국제개발협력학융합전공,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,17695420,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,국제개발협력학융합전공,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,797500,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,철학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12193000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,불어불문학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,5650000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,불어불문학과,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,14350000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12199400,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,189560,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,5838500,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,의류학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9963700,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,의류학과,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,5395000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,의류학과,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,2230000,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,의류학과,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1441300,0,0,None
대학 자원 공유 커뮤니버시티 운영,1차년도,의류학과,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,595000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,운영비(복리후생비),복리후생비,7772490,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,73928680,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,700000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,1000000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,2992500,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,325610,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,건설비(시설비),시설비,53467700,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,773600,0,0,None
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,업무추진비(사업추진비),사업추진비,72000,0,0,None
