사업명,No,집행차수,재원구분,지출일자,과제/사업단명,비목,보조비목,보조세목,지출액,지출처/적요,지급상태,비고
대학 자원 공유 커뮤니버시티 운영,38,1차년도,당해 배정액,2026-08-11,치의학전문대학원,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9864000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,39,1차년도,당해 배정액,2026-08-11,치의학전문대학원,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,9999400,,지급완료,
대학 자원 공유 커뮤니버시티 운영,40,1차년도,당해 배정액,2026-08-11,리걸클리닉센터,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,18599390,,지급완료,
대학 자원 공유 커뮤니버시티 운영,41,1차년도,당해 배정액,2026-08-11,리걸클리닉센터,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,40000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,42,1차년도,당해 배정액,2026-08-11,공익인권법센터,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,26000000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,43,1차년도,당해 배정액,2026-08-11,공익인권법센터,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,1035000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,44,1차년도,당해 배정액,2026-08-11,공익인권법센터,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,950800,,지급완료,
대학 자원 공유 커뮤니버시티 운영,45,1차년도,당해 배정액,2026-08-11,국제개발협력학융합전공,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,17695420,,지급완료,
대학 자원 공유 커뮤니버시티 운영,46,1차년도,당해 배정액,2026-08-11,국제개발협력학융합전공,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,797500,,지급완료,
대학 자원 공유 커뮤니버시티 운영,47,1차년도,당해 배정액,2026-08-11,철학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12193000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,48,1차년도,당해 배정액,2026-08-11,불어불문학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,5650000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,49,1차년도,당해 배정액,2026-08-11,불어불문학과,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,14350000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,50,1차년도,당해 배정액,2026-08-11,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12199400,,지급완료,
대학 자원 공유 커뮤니버시티 운영,51,1차년도,당해 배정액,2026-08-11,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,189560,,지급완료,
대학 자원 공유 커뮤니버시티 운영,52,1차년도,당해 배정액,2026-08-11,식품영양과학부,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,5838500,,지급완료,
대학 자원 공유 커뮤니버시티 운영,53,1차년도,당해 배정액,2026-08-11,의류학과,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9963700,,지급완료,
대학 자원 공유 커뮤니버시티 운영,54,1차년도,당해 배정액,2026-08-11,의류학과,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,5395000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,55,1차년도,당해 배정액,2026-08-11,의류학과,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,2230000,,지급완료,
대학 자원 공유 커뮤니버시티 운영,56,1차년도,당해 배정액,2026-08-11,의류학과,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1441300,,지급완료,
대학 자원 공유 커뮤니버시티 운영,57,1차년도,당해 배정액,2026-08-11,의류학과,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,595000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,58,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,106817060,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,59,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,인건비,운영비(복리후생비),복리후생비,7772490,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,60,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,700000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,61,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,2992500,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,62,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,58900000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,63,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,건설비(시설비),시설비,53467700,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,64,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,93943080,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,65,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,24600000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,66,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,업무추진비(사업추진비),사업추진비,72000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,67,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,773600,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,68,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,19950000,,지급완료,
미래형 광주 커뮤니티 아카데미 운영,69,1차년도,당해 배정액,2026-08-11,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,72510680,,지급완료,
